linear params: 227809

Starting epoch 1/20...
  batch 4300/4465 loss 1.6499
  batch 4350/4465 loss 1.5546
  batch 4400/4465 loss 1.5921
  batch 4450/4465 loss 1.5670
  batch 4465/4465 loss 1.4724
ep02/20  train 1.6828  val WAPE 0.1890  time 30.0s
  ✓ new best WAPE: 0.1890

Starting epoch 3/20...
  batch 50/4465 loss 1.6914
  batch 100/4465 loss 1.4887
  batch 150/4465 loss 1.6077
  batch 200/4465 loss 1.5866
  batch 250/4465 loss 1.5212
  batch 300/4465 loss 1.5135
  batch 350/4465 loss 1.5202
  batch 400/4465 loss 1.5995
  batch 450/4465 loss 1.4818
  batch 500/4465 loss 1.4960
  batch 550/4465 loss 1.5312
  batch 600/4465 loss 1.6180
  batch 650/4465 loss 1.4608
  batch 700/4465 loss 1.6212
  batch 750/4465 loss 1.5770
  batch 800/4465 loss 1.6560
  batch 850/4465 loss 1.6614
  batch 900/4465 loss 1.6180
  batch 950/4465 loss 1.4988
  batch 1000/4465 loss 1.5767
  batch 1050/4465 loss 1.5491
  batch 1100/4465 loss 1.6220
  batch 1150/4465 loss 1.6292
  batch 1200/4465 loss 1.6000
  batch 1250/4465 loss 1.6241
  batch 1300/4465 loss 1.6679
  batch 1350/4465 loss 1.5529
  batch 1400/4465 loss 1.6999
  batch 1450/4465 loss 1.4087
  batch 1500/4465 loss 1.5803
  batch 1550/4465 loss 1.5587
  batch 1600/4465 loss 1.6101
  batch 1650/4465 loss 1.2579
  batch 1700/4465 loss 1.7449
  batch 1750/4465 loss 1.5462
  batch 1800/4465 loss 1.6011
  batch 1850/4465 loss 1.5801
  batch 1900/4465 loss 1.5664
  batch 1950/4465 loss 1.4988
  batch 2000/4465 loss 1.6411
  batch 2050/4465 loss 1.5933
  batch 2100/4465 loss 1.4946
  batch 2150/4465 loss 1.4748
  batch 2200/4465 loss 1.7105
  batch 2250/4465 loss 1.5482
  batch 2300/4465 loss 1.4957
  batch 2350/4465 loss 1.5232
  batch 2400/4465 loss 1.6032
  batch 2450/4465 loss 1.5818
  batch 2500/4465 loss 1.6309
  batch 2550/4465 loss 1.6243
  batch 2600/4465 loss 1.4339
  batch 2650/4465 loss 1.6109
  batch 2700/4465 loss 1.5817
  batch 2750/4465 loss 1.5758
  batch 2800/4465 loss 1.7460
  batch 2850/4465 loss 1.5414
  batch 2900/4465 loss 1.6185
  batch 2950/4465 loss 1.5512
  batch 3000/4465 loss 1.4378
  batch 3050/4465 loss 1.4605
  batch 3100/4465 loss 1.6933
  batch 3150/4465 loss 1.5260
  batch 3200/4465 loss 1.4115
  batch 3250/4465 loss 1.5286
  batch 3300/4465 loss 1.4180
  batch 3350/4465 loss 1.5457
  batch 3400/4465 loss 1.5276
  batch 3450/4465 loss 1.3675
  batch 3500/4465 loss 1.5100
  batch 3550/4465 loss 1.4458
  batch 3600/4465 loss 1.4881
  batch 3650/4465 loss 1.5890
  batch 3700/4465 loss 1.4585
  batch 3750/4465 loss 1.5228
  batch 3800/4465 loss 1.6852
  batch 3850/4465 loss 1.5247
  batch 3900/4465 loss 1.5006
  batch 3950/4465 loss 1.5206
  batch 4000/4465 loss 1.5979
  batch 4050/4465 loss 1.6783
  batch 4100/4465 loss 1.4373
  batch 4150/4465 loss 1.5331
  batch 4200/4465 loss 1.5155
  batch 4250/4465 loss 1.6076
  batch 4300/4465 loss 1.5080
  batch 4350/4465 loss 1.6791
  batch 4400/4465 loss 1.5311
  batch 4450/4465 loss 1.5961
  batch 4465/4465 loss 1.5083
ep03/20  train 1.5538  val WAPE 0.1849  time 47.0s
  ✓ new best WAPE: 0.1849

Starting epoch 4/20...
  batch 50/4465 loss 1.5601
  batch 100/4465 loss 1.4956
  batch 150/4465 loss 1.5427
  batch 200/4465 loss 1.6623
  batch 250/4465 loss 1.5852
  batch 300/4465 loss 1.5431
  batch 350/4465 loss 1.5153
  batch 400/4465 loss 1.5701
  batch 450/4465 loss 1.5587
  batch 500/4465 loss 1.5987
  batch 550/4465 loss 1.4886
  batch 600/4465 loss 1.4339
  batch 650/4465 loss 1.5719
  batch 700/4465 loss 1.5436
  batch 750/4465 loss 1.5972
  batch 800/4465 loss 1.5815
  batch 850/4465 loss 1.6127
  batch 900/4465 loss 1.4748
  batch 950/4465 loss 1.6101
  batch 1000/4465 loss 1.5818
  batch 1050/4465 loss 1.6167
  batch 1100/4465 loss 1.5255
  batch 1150/4465 loss 1.6299
  batch 1200/4465 loss 1.5065
  batch 1250/4465 loss 1.4879
  batch 1300/4465 loss 1.5106
  batch 1350/4465 loss 1.5698
  batch 1400/4465 loss 1.4038
  batch 1450/4465 loss 1.4868
  batch 1500/4465 loss 1.4807
  batch 1550/4465 loss 1.5510
  batch 1600/4465 loss 1.5611
  batch 1650/4465 loss 1.5716
  batch 1700/4465 loss 1.5969
  batch 1750/4465 loss 1.5226
  batch 1800/4465 loss 1.6552
  batch 1850/4465 loss 1.5019
  batch 1900/4465 loss 1.5653
  batch 1950/4465 loss 1.6819
  batch 2000/4465 loss 1.5518
  batch 2050/4465 loss 1.6048
  batch 2100/4465 loss 1.5625
  batch 2150/4465 loss 1.4544
  batch 2200/4465 loss 1.4740
  batch 2250/4465 loss 1.6067
  batch 2300/4465 loss 1.5298
  batch 2350/4465 loss 1.4265
  batch 2400/4465 loss 1.4764
  batch 2450/4465 loss 1.5033
  batch 2500/4465 loss 1.5158
  batch 2550/4465 loss 1.6616
  batch 2600/4465 loss 1.5934
  batch 2650/4465 loss 1.5736
  batch 2700/4465 loss 1.5120
  batch 2750/4465 loss 1.4554
  batch 2800/4465 loss 1.5854
  batch 2850/4465 loss 1.5631
  batch 2900/4465 loss 1.6658
  batch 2950/4465 loss 1.4917
  batch 3000/4465 loss 1.7168
  batch 3050/4465 loss 1.5444
  batch 3100/4465 loss 1.6575
  batch 3150/4465 loss 1.5823
  batch 3200/4465 loss 1.6034
  batch 3250/4465 loss 1.5625
  batch 3300/4465 loss 1.4744
  batch 3350/4465 loss 1.5213
  batch 3400/4465 loss 1.5869
  batch 3450/4465 loss 1.5787
  batch 3500/4465 loss 1.6010
  batch 3550/4465 loss 1.6206
  batch 3600/4465 loss 1.5965
  batch 3650/4465 loss 1.6766
  batch 3700/4465 loss 1.4546
  batch 3750/4465 loss 1.5235
  batch 3800/4465 loss 1.4775
  batch 3850/4465 loss 1.6875
  batch 3900/4465 loss 1.6427
  batch 3950/4465 loss 1.5925
  batch 4000/4465 loss 1.5201
  batch 4050/4465 loss 1.4400
  batch 4100/4465 loss 1.5845
  batch 4150/4465 loss 1.5036
  batch 4200/4465 loss 1.6684
  batch 4250/4465 loss 1.6228
  batch 4300/4465 loss 1.6112
  batch 4350/4465 loss 1.6493
  batch 4400/4465 loss 1.4995
  batch 4450/4465 loss 1.5887
  batch 4465/4465 loss 1.4640
ep04/20  train 1.5394  val WAPE 0.1867  time 45.1s
  no improvement (1/4)

Starting epoch 5/20...
  batch 50/4465 loss 1.5223
  batch 100/4465 loss 1.5202
  batch 150/4465 loss 1.5468
  batch 200/4465 loss 1.6096
  batch 250/4465 loss 1.5565
  batch 300/4465 loss 1.5552
  batch 350/4465 loss 1.5164
  batch 400/4465 loss 1.5034
  batch 450/4465 loss 1.5896
  batch 500/4465 loss 1.4654
  batch 550/4465 loss 1.6241
  batch 600/4465 loss 1.4364
  batch 650/4465 loss 1.5892
  batch 700/4465 loss 1.5608
  batch 750/4465 loss 1.4989
  batch 800/4465 loss 1.4575
  batch 850/4465 loss 1.5928
  batch 900/4465 loss 1.6747
  batch 950/4465 loss 1.5428
  batch 1000/4465 loss 1.4320
  batch 1050/4465 loss 1.3809
  batch 1100/4465 loss 1.4549
  batch 1150/4465 loss 1.5996
  batch 1200/4465 loss 1.5970
  batch 1250/4465 loss 1.5088
  batch 1300/4465 loss 1.5194
  batch 1350/4465 loss 1.4779
  batch 1400/4465 loss 1.5644
  batch 1450/4465 loss 1.6657
  batch 1500/4465 loss 1.5772
  batch 1550/4465 loss 1.5481
  batch 1600/4465 loss 1.6162
  batch 1650/4465 loss 1.4556
  batch 1700/4465 loss 1.5454
  batch 1750/4465 loss 1.4809
  batch 1800/4465 loss 1.5712
  batch 1850/4465 loss 1.4144
  batch 1900/4465 loss 1.5263
  batch 1950/4465 loss 1.3916
  batch 2000/4465 loss 1.5034
  batch 2050/4465 loss 1.4563
  batch 2100/4465 loss 1.6065
  batch 2150/4465 loss 1.5633
  batch 2200/4465 loss 1.4889
  batch 2250/4465 loss 1.5258
  batch 2300/4465 loss 1.4803
  batch 2350/4465 loss 1.7128
  batch 2400/4465 loss 1.5896
  batch 2450/4465 loss 1.6507
  batch 2500/4465 loss 1.6110
  batch 2550/4465 loss 1.5865
  batch 2600/4465 loss 1.4749
  batch 2650/4465 loss 1.4875
  batch 2700/4465 loss 1.5012
  batch 2750/4465 loss 1.5297
  batch 2800/4465 loss 1.5629
  batch 2850/4465 loss 1.5537
  batch 2900/4465 loss 1.6197
  batch 2950/4465 loss 1.5729
  batch 3000/4465 loss 1.4788
  batch 3050/4465 loss 1.5347
  batch 3100/4465 loss 1.6355
  batch 3150/4465 loss 1.5292
  batch 3200/4465 loss 1.4883
  batch 3250/4465 loss 1.3793
  batch 3300/4465 loss 1.6697
  batch 3350/4465 loss 1.5682
  batch 3400/4465 loss 1.5150
  batch 3450/4465 loss 1.5744
  batch 3500/4465 loss 1.5817
  batch 3550/4465 loss 1.6387
  batch 3600/4465 loss 1.4034
  batch 3650/4465 loss 1.3831
  batch 3700/4465 loss 1.4824
  batch 3750/4465 loss 1.4585
  batch 3800/4465 loss 1.5696
  batch 3850/4465 loss 1.6450
  batch 3900/4465 loss 1.4367
  batch 3950/4465 loss 1.5806
  batch 4000/4465 loss 1.5715
  batch 4050/4465 loss 1.5479
  batch 4100/4465 loss 1.6049
  batch 4150/4465 loss 1.3793
  batch 4200/4465 loss 1.4801
  batch 4250/4465 loss 1.6008
  batch 4300/4465 loss 1.6635
  batch 4350/4465 loss 1.5139
  batch 4400/4465 loss 1.5798
  batch 4450/4465 loss 1.5298
  batch 4465/4465 loss 1.7071
ep05/20  train 1.5459  val WAPE 0.1820  time 34.4s
  ✓ new best WAPE: 0.1820

Starting epoch 6/20...
  batch 50/4465 loss 1.5757
  batch 100/4465 loss 1.5739
  batch 150/4465 loss 1.4999
  batch 200/4465 loss 1.6264
  batch 250/4465 loss 1.4879
  batch 300/4465 loss 1.5966
  batch 350/4465 loss 1.4610
  batch 400/4465 loss 1.5458
  batch 450/4465 loss 1.5393
  batch 500/4465 loss 1.5591
  batch 550/4465 loss 1.5668
  batch 600/4465 loss 1.5222
  batch 650/4465 loss 1.4962
  batch 700/4465 loss 1.6314
  batch 750/4465 loss 1.5882
  batch 800/4465 loss 1.5586
  batch 850/4465 loss 1.6118
  batch 900/4465 loss 1.5406
  batch 950/4465 loss 1.6156
  batch 1000/4465 loss 1.4942
  batch 1050/4465 loss 1.5663
  batch 1100/4465 loss 1.4906
  batch 1150/4465 loss 1.4640
  batch 1200/4465 loss 1.4786
  batch 1250/4465 loss 1.4617
  batch 1300/4465 loss 1.6203
  batch 1350/4465 loss 1.5682
